Title,Price,Link,Rating
Habitación en L'Hospitalet de Llobregat,32 € ,https://www.airbnb.es/rooms/1126870339906624244?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1875495375&search_mode=regular_search&check_in=2024-11-18&check_out=2024-11-23&source_impression_id=p3_1730399230_P3hBAfeczszShwVt&previous_page_section_name=1000,"4,52 (21)"
Habitación en Barcelona,47 € ,https://www.airbnb.es/rooms/1245887789316430717?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1993941933&search_mode=regular_search&check_in=2024-11-25&check_out=2024-11-30&source_impression_id=p3_1730399230_P3qh6MUC8Zf9ef4e&previous_page_section_name=1000,"4,44 (9)"
Habitación en Barcelona,40 € ,https://www.airbnb.es/rooms/40866305?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1692209008&search_mode=regular_search&check_in=2024-11-04&check_out=2024-11-09&source_impression_id=p3_1730399230_P39Cig6flwia_-Hw&previous_page_section_name=1000,"4,78 (36)"
Barco en Sant Adrià de Besòs,59 € ,https://www.airbnb.es/rooms/888570012690964731?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-17&check_out=2024-11-22&source_impression_id=p3_1730399230_P3OlPhk7GQS6G8Vi&previous_page_section_name=1000,"4,81 (80)"
Habitación en Barcelona,49 € ,https://www.airbnb.es/rooms/1251405079105833124?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=1998310392&search_mode=regular_search&check_in=2024-11-03&check_out=2024-11-08&source_impression_id=p3_1730399230_P3_HXVPgA8zTOfz2&previous_page_section_name=1000,Nuevo
Alojamiento en Barcelona,52 € ,https://www.airbnb.es/rooms/1278070192389502016?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-09&check_out=2024-11-14&source_impression_id=p3_1730399230_P3scL8BVma9egRB2&previous_page_section_name=1000,Nuevo
Habitación de hotel compartida en Barcelona,30 € ,https://www.airbnb.es/rooms/563396040001104055?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-10&check_out=2024-11-15&source_impression_id=p3_1730399230_P30Z1da_Tetx6LOJ&previous_page_section_name=1000,"4,37 (121)"
Alojamiento en Barcelona,47 € ,https://www.airbnb.es/rooms/51444586?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-17&check_out=2024-11-22&source_impression_id=p3_1730399230_P3xuD-x2JcXoTHki&previous_page_section_name=1000,"4,25 (4)"
Apartamento en Barcelona,126 € ,https://www.airbnb.es/rooms/2510966?adults=1&children=0&enable_m3_private_room=true&infants=0&pets=0&search_mode=regular_search&check_in=2024-11-24&check_out=2024-11-29&source_impression_id=p3_1730399230_P38NtrOcJdo6L1pG&previous_page_section_name=1000,"4,36 (559)"
Habitación en Barcelona,38 € ,https://www.airbnb.es/rooms/32571410?adults=1&category_tag=Tag%3A8678&children=0&enable_m3_private_room=true&infants=0&pets=0&photo_id=942421046&search_mode=regular_search&check_in=2024-12-02&check_out=2024-12-07&source_impression_id=p3_1730399230_P3H-gHmrWLtsDEPv&previous_page_section_name=1000,"4,76 (268)"
